Session Number,Scenario Number (within session) ,"Scenario Type                   (REMEMBER: 7 positive, 2 resilience, 1 negative) ",Broad Domain 1,Broad Domain 2,Broad Domain 3,Hoos TC Title ,Staff scenario body,Staff scenario body #2 (negation scenarios only),Staff comprehension question,Staff correct response,Staff incorrect response,Staff photo link,Letters Missing,Occurrence
,3,Resilience/Negation,Physical Health,Social Situations,,Catching Transportation,"You are at the airport running to catch a plane. You feel your heart racing as you step on the plan and sit down. Starting to sweat and breathe quickly, you fear that you might have a panic attack.","You have a strong urge to get off the plane and go back home, but you sit down at the nearest seat. Instead of exiting, you decide to observe these sensations and stay seated.",Is it necessary to get off the plane because you feel your heart beating rapidly?,No,,https://drive.google.com/file/d/15BOnlJB7SXDWnFaZP_Cm6vzosTdkmVsp/view?usp=sharing,1,3
,4,Positive,Physical Health,Social Situations,,Meeting Someone New,You are at a birthday party for a friend of a friend. You start to feel a knot in your stomach while talking to someone you've never met before. This probably means that you are excited.,,Are you worried about talking to a new person?,No ,,https://drive.google.com/file/d/1m8Y-P-lBw6IkILN6LVQ2sO9xx9D8qSBD/view?usp=sharing,1,3
,5,Negative,Physical Health,,,Stomach Ache,"You have been nervous about an upcoming evaluation at work. The day of the evaluation, you notice that your stomach is aching. You think that the stomach ache must be from anxiety. ",N/A,Is the stomach ache from anxiety?,Yes,No,https://drive.google.com/file/d/1rbCs8iZS6b3LtSyDCOMcEXH8GAlOt4qZ/view?usp=sharing,1,3
,6,Positive,Physical Health,Social Situations,,Recent Exposure,"You were recently exposed to someone who tested positive, but you got tested and haven't experienced any symptoms. Your friends invite you to get dinner with them, and you wonder if you should go. You test negative and go out with your friends. ",N/A,Do you test negative?,Yes ,,https://drive.google.com/file/d/1skPUUmw_frFjR4sIPO4dIxk0mnDUH5UN/view?usp=sharing,1,3
,7,Positive,Physical Health,,,Social Distancing Indoors,"You are immunocompromised, and you have been taking precautions to protect yourself from COVID. When you arrive to a meeting one day, you notice a colleague who is not wearing their mask. You ask them to put their mask on. ",N/A,Are you taking precautions against COVID?,Yes,,https://drive.google.com/file/d/1ZaHC8JkZK3uAQbvp8hBPnP6YtIA2v7Kk/view?usp=sharing,1,3
,8,Positive,Physical Health,,,Taking Precautions ,"Your children are back in-person at school. You're worried that a classmate might give them COVID, and your children might get really sick. You decide you'll make sure they stay masked and learn to always wash their hands to keep them safe.",N/A,Do you think your children will get COVID?,No,,https://drive.google.com/file/d/1t2DosXT-6MyJili_m8ONQLLL80lG_8V8/view?usp=sharing,1,3
,9,Positive,Physical Health,,,Rescheduled Vacation,"You've been wanting to go on a summer vacation to Europe for a few years. You rescheduled your trip from last summer to this upcoming summer, but you're worried COVID will spread again and prevent you from finally going. You decide to wait it out, and can always reschedule again if you need to. ",N/A,Are you worried COVID is going to cancel your trip?,No,,https://drive.google.com/file/d/1PJKSzww5TSFLkglqNzsqi7kJ9WxqGSBm/view?usp=sharing,1,3
,10,Positive,Physical Health,,,Concert Cancellation,"A concert you bought tickets for a while ago is finally approaching. However, the COVID numbers are rising in your state and the concert may be cancelled last minute. You accept this fact and know the band will reschedule if they need to.",N/A,Are you worried about the concert getting cancelled?,No,,https://drive.google.com/file/d/1_B3CLNZYw6j6jB-EIfyI0zEH5EdNmetw/view?usp=sharing,1,3
39,1,Positive,Physical Health,,,Cough After Going Out ,"Over the last couple days, you've developed a cough. You went out over the weekend, and wonder if you may have contracted COVID. You decide to go get tested. ",N/A,Is your cough a definite sign of COVID?,No,,https://drive.google.com/file/d/14wxdQT03SW3H6H1dQsVqj2B6s1GhUSY7/view?usp=sharing,1,3
,2,Resilience/Negation,Physical Health,,,Dry mouth cause,"You have experienced dry mouth for a few days. You wonder whether the dry mouth is a minor side effect from a medicine you just started taking, or something more serious. ","Considering that you are relatively healthy and don't have many other symptoms, you think that the likelihood that your dry mouth reflects a serious health problem is minimal.",Your dry mouth is probably due to ...,A new medication.,A serious illness.,https://drive.google.com/file/d/1IeejxodAEOPnBK-2VdYiVAvRH6sKjGMd/view?usp=sharing,1,2
,3,Resilience/Negation,Physical Health,Social Situations,,Feeling Lightheaded,"You have been working hard all day and have not had much to eat. As you stand up from your desk, you feel dizzy and weak, and this makes you a little worried. ",You decide to focus your mind on the sensations; this reduces your worrying and makes you feel calmer.,Will your anxiety decrease if you observe your sensations?,Yes,,https://drive.google.com/file/d/1DivZOcoKB52Y-av9UMmPiIogDTLacT_W/view?usp=sharing,1,3
,4,Positive,Physical Health,Social Situations,,Exposure Guilt,"After noticing your throat hurting a bit, you decide to go get tested for COVID. Your partner barely goes out in order to keep themself safe, and you think they'll be mad at you for a possible exposure. You hope that they'll forgive you easily, because getting COVID isn't fully in your control. ",N/A,Do you think your partner will stay mad at you?,No,,https://drive.google.com/file/d/1WEqvc9WSFDoDYwVa62__MH0J2brW9P5D/view?usp=sharing,1,3
,5,Positive,Physical Health,,,Unmasked Neighbor,"You're working in the library when another person sits next to you. They are not wearing a mask, and it makes you feel unsafe. You tell the librarian that this person is breaking the rules.",N/A,Do you make the right decision to tell the librarian about the unmasked person?,Yes ,,https://drive.google.com/file/d/1nUmCRu4wnqWaowKbc8AkUMsjxFN1g9BU/view?usp=sharing,1,3
,6,Negative,Physical Health,Romantic Relationships,,Driving with a Friend,You are in the car with a friend and they are driving the speed limit on the highway. You feel butterflies in your stomach as you see cars passing quickly by. This makes you feel scared.,N/A,Do the butterflies in your stomach make you feel excited?,No,Yes ,https://drive.google.com/file/d/1Qg3RtlzGStLsvGsgkLm9QEhINOWo8MDV/view?usp=sharing,1,3
,7,Positive,Physical Health,,,Waking Up Dizzy,"As you wake up in the morning, you sit up quickly. Your vision goes blurry, and then goes black for a moment. Your vision comes back after a moment, and you tell yourself that it happened because you sat up quickly.",,Does your momentary blurry vision mean that you are going blind?,No,,https://drive.google.com/file/d/1zilnZ-Hg2NZiL6TR6YmDYtIdKcj2JFhH/view?usp=sharing,1,3
,8,Positive,Physical Health,,,Out of Breath,"On a hike over the weekend, you noticed you were getting out of breath faster than usual. You remember that COVID affects your lungs, and you start to panic. Luckily, you know you've been wearing your mask and have done everything you could to prevent COVID",N/A,Is your shortness of breath COVID-related?,No,,https://drive.google.com/file/d/12mTsvhDVa7HeTkfjIeD5Py5DX8pWVRRl/view?usp=sharing,1,3
,9,Positive,Physical Health,,,Testing Positive for COVID-19,"A few days after attending a birthday party with lots of people, you notice that your throat hurts. You take a test and find out that you have COVID, which you have been careful to avoid due to your underlying health conditions. You think about how your health will be affected and think that you will be able to handle the challenges as they come.",N/A,Will you be able to recover from COVID?,Yes,,https://drive.google.com/file/d/1swyXz0EX1z3WGXTnVs4rB7-lSbq05V5E/view?usp=sharing,1,3
,10,Positive,Physical Health,,,Headache at the Doctor's Office,"You are at the doctor’s office and they ask you if you are having any COVID symptoms. They list headaches as a possible symptom, something you have been experiencing but didn’t recognize as an issue, and that scares you because you remember how sick your friends got with COVID. You remember that you can focus on your health and rest until you feel better.",N/A,Does your headache mean you will get as sick as your friends?,No,,https://drive.google.com/file/d/1E_zU43NdPQrQs_EbbgIeOVJr1IAQ1b_O/view?usp=sharing,1,3
40,1,Resilience/Negation,Physical Health,,,Spring Allergies,"It's a chilly spring day, and you are walking outside in the park, hitting the soccer ball around. As you pass by the trees, you feel increasingly stuffy and sore. You start feeling scared.","Looking around, you see all the pollen flying in the air. You realize that you usually get a stuffy nose with seasonal allergies and are probably tired from playing soccer for the last hour. You feel relieved.",Does your stuffy nose and soreness mean something bad is happening?,No,,https://drive.google.com/file/d/1XwVIMD-qlNp532-AByRuhQltoTAlm_qS/view?usp=sharing,2,3
,2,Positive,Physical Health,,,Swimming at the Beach,"After finding out a friend has COVID, you decide to take yourself to the beach for a relaxing day. When you try to go swim in the ocean, you notice that it's hard for you to hold your breath underwater. This is probably because you haven't swam in a while. ",,Is your struggle to swim a sign of COVID?,No,,https://drive.google.com/file/d/1EDAskGZeJln12DePCekZITDjifvl8aXY/view?usp=sharing,2,3
,3,Resilience/Negation,Physical Health,,,Masks with Sensitive Skin,"You have sensitive skin, and wearing a mask makes you break out. When you see people without masks on, their skin is completely clear. You feel insecure about how much acne you have. ","After thinking about it, you realize that you tend to notice aspects about yourself that others don't. You feel good about how you're protecting people by wearing your mask.",Is it good that you're wearing a mask?,Yes ,,https://drive.google.com/file/d/1kxwTqZLKkj_Ga1sxMdjcBk6LLutuz39T/view?usp=sharing,2,3
,4,Positive,Physical Health,Social Situations,,Safe Delivery,"One of your close friends tests positive for COVID, and they ask you to deliver them groceries. You don't want to get exposed by being close to their home, but you also want to be helpful. You find a way to safely deliver the food from afar.",,Are you able to help your friend?,Yes,,https://drive.google.com/file/d/1c6ieeJOV0oWUI1mr-p9FOf9xvwkeVctA/view?usp=sharing,2,3
,5,Negative,Physical Health,,,Running in the Cold,"It's a cold day, and you are outside jogging. Your heart starts to beat quickly a few minutes in. You decide that this feeling is scary.",,Is your rapid heartbeat scary?,Yes,,https://drive.google.com/file/d/1FS-osT_v7dH6pF1URFaIMXwErnTMFWu-/view?usp=sharing,2,3
,6,Positive,Physical Health,Mental Health,,Learning how to ski,You are on holiday at a mountain resort and are learning how to ski. This is your first attempt to ski downhill on your own. You approach the first bend at a moderate speed and think that skiing is enjoyable.,N/A,"Once you reach the bend, you will probably ...",Clear it and continue skiing downhill.,Fall down.,https://drive.google.com/file/d/17uXb5H0kSMesHVAR7r1_6NraiAfQA0yi/view?usp=sharing,2,3
,7,Positive,Physical Health,Academics/Work/Career Development,,Waking Up Dizzy,"As you wake up in the morning, you sit up quickly. Your vision goes blurry, and then goes black for a moment. Your vision comes back after a moment, and you tell yourself that it happened because you sat up quickly.",,Does your momentary blurry vision mean that you are going blind?,No,,https://drive.google.com/file/d/1zilnZ-Hg2NZiL6TR6YmDYtIdKcj2JFhH/view?usp=sharing,2,3
,8,Positive,Physical Health,Social Situations,,Unmasked Acquaintance,You arrive to a meeting with your mask on. You notice that one of your colleagues is not wearing a mask. You think that they must have forgotten it. ,N/A,Did your colleague forget their mask?,Yes,,https://drive.google.com/file/d/1FtHkL-AdkRCQvQ3tup-oLG_qljuCxq5w/view?usp=sharing,2,3
,9,Positive,Physical Health,Social Situations,,COVID Confrontation,"You have a cold and since you tested negative for COVID, you decided to go back to work. You can't help but cough a few times throughout the day, and when you're about to leave a coworker confronts you, accusing you of coming to work with COVID. You feel like that person must be going through a stressful time.",N/A,Can you always avoid worrying others?,No,,https://drive.google.com/file/d/1ZRX4djV0jNJx45cG7BKsaEWYgTgDJGha/view?usp=sharing,2,3
,10,Positive,Physical Health,Social Situations,,Dancing class,"You are taking a dancing class and, during a break, find yourself talking to a newcomer about your job. As you chat, you notice that you are sweating. They probably assume this is a result of dancing.",N/A,Did the person you met at dance class think you were anxious?,No,,https://drive.google.com/file/d/1yVXzFBXX6-Tsb9FVPimCrE8TubjyVWUU/view?usp=sharing,2,3
41,1,Positive,Physical Health,,,Unmasked Neighbor,"You're working in the library when another person sits next to you. They are not wearing a mask, and it makes you feel unsafe. You tell the librarian that this person is breaking the rules.",N/A,Do you make the right decision to tell the librarian about the unmasked person?,Yes ,,https://drive.google.com/file/d/1nUmCRu4wnqWaowKbc8AkUMsjxFN1g9BU/view?usp=sharing,2,3
,2,Resilience/Negation,Physical Health,Academics/Work/Career Development,,Hot day ,"Returning home on a very hot day, you quickly drink a large glass of water. You soon feel abnormally full and a bit sick to your stomach. ","This feeling is surprising and uncomfortable, but you realize that it is something you can simply observe.",You responded to the feelings of sickness in your stomach by ...,Observing the sensations without doing anything.,Panicking about the sensations and calling an ambulance.,https://drive.google.com/file/d/1zIU7R9B0aDdb2iU_AHp4YbObnLDAts0M/view?usp=sharing,2,3
,3,Resilience/Negation,Physical Health,Academics/Work/Career Development,,Cardio with friend,"It's Wednesday night and your friend convinces you to take a high-intensity cardio class. About halfway through you stop exercising, because you feel you can't catch your breath. ","As you begin to have anxious thoughts about passing out, you decide to simply notice them.","When feeling like you can't catch your breath, it is helpful to ...",Just observe your anxious thoughts and sensations without judgment.,Judge your breathlessness as bad or harmful.,https://drive.google.com/file/d/1VlsI9LlwAnuIBOVvXzcOaRgcOTFzDdfO/view?usp=sharing,2,3
,4,Positive,Physical Health,Social Situations,,Too Much Attention,"It's your birthday and when it's time for the cake, people gather around you and start singing. You feel your heart start to beat more quickly and your armpits starting to sweat. Your friends and family will not notice.",N/A,Do your friends and family notice how anxious you feel?,No,,https://drive.google.com/file/d/1m8Y-P-lBw6IkILN6LVQ2sO9xx9D8qSBD/view?usp=sharing,2,3
,5,Positive,Physical Health,Social Situations,,Sweat Stains,"It's a warm day and you and your friends are taking a walk outside. You notice that you are starting to sweat, and you can see some marks on your shirt. You know these friends well, and they will not care.",N/A,Will your friends make fun of your sweat marks on your shirt? ,No,,https://drive.google.com/file/d/1Wch_kcxO-_MSrBd4tyGQsC_dXyOttIIF/view?usp=sharing,2,3
,6,Positive,Physical Health,Family & Home Life,,Visiting Aging Family,You go home to your parents' home for the holidays and notice that your mother looks frail. You find yourself wondering about her health and whether she's sick. You think her health will probably be good.,,Is your mother's health going to quickly decline?,No,,https://drive.google.com/file/d/1Gq9Sn1-xMI1EWDLSKgwCVl-6URaJ2yiG/view?usp=sharing,2,3
,7,Negative,Physical Health,,,Positive Test,"You recently got tested for COVID, and are expecting your results today. You are in the middle of a meeting when you hear your phone go off, and you wonder if you tested positive or negative. You check your phone and see that you tested positive . ",N/A,Do you test positive?,Yes ,,https://drive.google.com/file/d/1Fq-NpWkRkGr7cLwbrV84SzufV_aWAasr/view?usp=sharing,2,3
,8,Positive,Physical Health,Social Situations,,Late Communication,"Your friend invites you to a dinner party and after you leave, they casually mention that one of the people there had been exposed and was waiting on a test result. You can’t believe your friend wouldn’t tell you this before they took you to the party. You decide to talk to your friend about it and you both decide to isolate until the test comes back and communicate better about risky situations.",N/A,Did your friend put you in a dangerous situation on purpose?,No,,https://drive.google.com/file/d/1bUgYhh6J97bHW_fCGBklhFK19Hg6E412/view?usp=sharing,2,3
,9,Positive,Physical Health,Social Situations,,Birthday Party,"You are at a birthday party for a friend of a friend. You notice that you are flushed and a little sweaty. Standing there, you think that these sensations are normal.",N/A,People will probably ...,Not see you sweat since the room is dimly lit.,Notice that you are sweating.,https://drive.google.com/file/d/1cfjkxrnn1-Ws7c5KzE7-FN0aIqqXiOQF/view?usp=sharing,2,3
,10,Positive,Physical Health,,,Plans to Visit Family,"It is just one day before you are supposed to leave to go visit your family, and your friend is told they were exposed to someone with COVID. You both go get tested, but results typically come back in 72 hours and you have a flight booked for tomorrow. When you think about how your family will react, you think they will understand.",N/A,Can you always reschedule your trip to see your family?,Yes,,https://drive.google.com/file/d/1yuqh5SDNygg4LWsoT1Xy9YTyK0rxVKAg/view?usp=sharing,2,3
1,1,Positive,Social Situations,,,Party People,"You arrive at a large party and quickly realize that there are a lot of people you do not know there. You feel anxious and consider going home. Looking around the room, you decide to stay.",N/A,The party will probably be ...,Exciting because you have a chance to meet new people.,Awkward and uncomfortable because you do not know many people.,https://drive.google.com/file/d/1Zc-4xffN0v0XdDSXW-x1NAACedZAqgXQ/view?usp=sharing,1,2
,2,Resilience/Negation,Social Situations,Academics/Work/Career Development,,Practicing presentation,"Your supervisor asks you to present at a meeting. After practicing for several weeks, you finally feel ready. At the presentation, you make a big mistake.","After the presentation, you realize that these mistakes are common. The supervisor probably thinks your recovery and ability to continue presenting was very admirable.",Is your supervisor disappointed with your presentation?,No,,https://drive.google.com/file/d/1Cw3oPXTNc-8SRhdtrmQYyiTvDaszARPN/view?usp=sharing,1,3
,3,Positive,Social Situations,Academics/Work/Career Development,,A small presentation,"You are working on a project you enjoy. However, you were just informed that during the next staff meeting you will have to give a five-minute oral presentation to the rest of the staff. On the evening before the presentation, you feel frightened about the idea of public speaking, and you decide your fear is tolerable.",N/A,Can you handle your fear of giving the oral presentation?,Yes,,https://drive.google.com/file/d/1V-HyzPWcCSIQCjmLetck1SbZQT1cVtgr/view?usp=sharing,1,2
,4,Positive,Social Situations,,,Keeping Up With Friends ,"You have been very busy and are having trouble keeping in contact with one of your best friends. You are usually good about calling them, but your schedule has been very hectic. As you think about their reaction to this lull in contact, you think that your friend will be forgiving.",,Your friend will most likely,Understand that sometimes things get very busy.,Be upset with you for not staying in contact.,https://drive.google.com/file/d/1zs5Zen5SreRnD91mUn6rtDWU2U5Icoe_/view?usp=sharing,1,3
,5,Negative,Social Situations,,,A new camera,"You buy a new camera, but when you get home, you find that you do not like it. You return it to the store and get your money back. At the counter, the assistant is not very talkative as they help you, and you think they view you as crazy.",N/A,Do you think the sales assistant felt you were annoying?,Yes,,https://drive.google.com/file/d/1gIc6npFIezWPuRAQClkBHg3K5HpAwDTk/view?usp=sharing,1,2
,6,Positive,Social Situations,Academics/Work/Career Development,,Changing Your Plans,"You've decided to accept a job in another department. All of your close friends are applying to committees within your current department. When you think about your decision to switch departments, you feel satisfied.",N/A,Are you happy with your decision to switch departments?,Yes,,https://drive.google.com/file/d/1vmEFLzq1i5guQSpr0uE5nLlEbZHH1whv/view?usp=sharing,1,2
,7,Positive,Social Situations,,,Nerves at a Big Moment,You are about to give a presentation and you feel your body tremble. You don't usually feel this way when you speak in front of people. These trembling feelings mean that you are ready.,,Do the trembling feelings mean that you are unprepared for the presentation?,No,,https://drive.google.com/file/d/1euj4QAMrOxGJVTxv0VX9mSsgDp8o5SwZ/view?usp=sharing,1,3
,8,Positive,Social Situations,Academics/Work/Career Development,,Zoning Out,You are sitting in an online meeting and space out for a minute. Your boss asks you a question and you didn't hear it. You ask her to repeat her question and this makes you feel  ok.,,Are you comfortable asking your department head to repeat her question?,Yes,,https://drive.google.com/file/d/1ZxZ_841mwj2NoY_cCWf9GHGmHmnONE6A/view?usp=sharing,1,3
,9,Positive,Social Situations,,,Resolving a disagreement,"You have a minor disagreement with a coworker about the best way to complete a task, and you decide to ask your boss about it. When you talk to your boss, you momentarily forget what you were about to say. Your boss thinks you sound calm.",N/A,Your boss probably thinks ...,You are thoughtful and collected.,You are stupid and incompetent.,https://drive.google.com/file/d/1jaYm3TgI2IBWA2BUVVUogJ_o8-QMQZN1/view?usp=sharing,1,1
,10,Resilience/Negation,Social Situations,Mental Health,,Sharing with Someone New,"You're talking to a coworker about a presentation you're working on and they seem really interested. They ask if they can look at it, and you agree. Before you send the slides to them, you look over it and feel good. ",N/A,Are you worried about what your coworker thinks of your presentation?,No,,https://drive.google.com/file/d/1499bBYkmYnrl8QqVGgqBcog_M-Ueo1__/view?usp=sharing,1,3
2,1,Positive,Social Situations,,,Suggestion to meet again,"You meet someone at an event and feel that you got along well. Later, you call and suggest meeting again. The reply you get makes you feel that the person thinks meeting again would be enjoyable.",N/A,The person you met at the event will probably ...,Say yes if you suggest meeting again,Say no if you suggest meeting again.,https://drive.google.com/file/d/1zcSYCq7ymkaCpr9sIJm7rsA3luVq-XEs/view?usp=sharing,1,2
,2,Negative,Social Situations,Academics/Work/Career Development,,Dealing with Group Work,"You are assigned a project to complete for work. You've been grouped with coworkers who usually don't contribute much to work projects. You start to think about how the project will go, and feel uneasy.",,Are you worried about completing the presentation?,Yes,,https://drive.google.com/file/d/1MSvkZ7ilWBOwRh_oL2pAafze77-a_M3n/view?usp=sharing,1,3
,3,Positive,Social Situations,,,Conversing at a party,"You are at a party with people you do not know well. You decide to join some people who are sitting on a couch and talking. When you try to enter the conversation, the people on the couch continue talking to each other, because they were probably distracted.",N/A,The group that was talking probably ignored you because they ...,Did not see you there.,Do not like you. ,https://drive.google.com/file/d/1P0yu1f5kMZ1J0BunhrRU8WrsyiIhwlKD/view?usp=sharing,1,2
,4,Positive,Social Situations,Family & Home Life,,Dinner at a Friend's House,"Your family doesn't do sit-down dinners together. Your friend invites you to join her family for dinner, and when you arrive, everyone sits at the table and starts asking questions about each other's days. When it's your turn, you're not sure how to respond, but after you say something, you feel calm",,Are you able to stay calm even though you don't know what to say?,Yes,,https://drive.google.com/file/d/18ON-daCCgtQApC9SVxzPUIsZEHK2kZJK/view?usp=sharing,1,3
,5,Resilience/Negation,Social Situations,,,Cooking a Casserole,"You are going to a potluck dinner party, and you want to make your family's macaroni casserole to bring. You have the recipe your parents gave you, but you worry you don't have the cooking skills to pull off the dish.","You think that people at the party won't think you're a bad cook, and will probably think your casserole tastes good.",Do you think people will like your casserole?,Yes ,No ,https://drive.google.com/file/d/12kKvu8IBTJkLrM3hsryH2oaUOq9wkAyI/view?usp=sharing,1,3
,6,Positive,Social Situations,,,Using What You Have,"You are invited to a formal event for your workplace. You can't afford something new to wear, so have to wear an old outfit. When thinking about everyones opinion on you wearing old clothes, you know you'll feel confident.",,Are you worried about what others will think of your older outfit?,No,,https://drive.google.com/file/d/1IGCUmxaQ4KuTOm8JOXB9j9H66jDnC7k5/view?usp=sharing,1,2
,7,Positive,Social Situations,Academics/Work/Career Development,,Feeling Different,"You're participating in an online conference and look at everyone's video. You notice that among the group of people, you look different from everyone else. You think about this and realize it is okay.",N/A,Is it bad that you feel different from others in your field?,No,,https://drive.google.com/file/d/1FYlM1a2tGzuMSOP9mBCzc1EGii_cJCXM/view?usp=sharing,1,3
,8,Resilience/Negation,Social Situations,Academics/Work/Career Development,,Practicing presentation,"Your supervisor asks you to present at a meeting. After practicing for several weeks, you finally feel ready. At the presentation, you make a big mistake.","After the presentation, you realize that these mistakes are common. The supervisor probably thinks your recovery and ability to continue presenting was very admirable.",Is your supervisor disappointed with your presentation?,No,,https://drive.google.com/file/d/1Cw3oPXTNc-8SRhdtrmQYyiTvDaszARPN/view?usp=sharing,1,3
,9,Positive,Social Situations,Romantic Relationships,,Anniversary Let-down,"Your anniversary with your significant other is this weekend, but they haven't mentioned to you that they made any big plans. Having your expectations let down seems to be a recurring event, and you think it's time to bring it up to them. You figure out a way to bring it up calmly, without starting a fight. ",N/A,Do you expect your conversation with your significant other to end in a fight? ,No,,https://drive.google.com/file/d/1CgrLjr1VnBJzGXYveoJeXLo40-5Mt3ny/view?usp=sharing,1,2
,10,Positive,Social Situations,,,An Acquaintance,You run into someone you don't know well on the street who you look up to. You ask them how they are doing and they continue to keep walking. This acquaintance probably thinks you are nice.,N/A,Does the acquaintance dislike you?,No,,https://drive.google.com/file/d/1C-zce9kzLUaNTvKVjPkRBpmnQOMidjcp/view?usp=sharing,1,2
3,1,Resilience/Negation,Social Situations,,,Grocery store experience,"You are shopping in a grocery store. As you are browsing some shelves, you accidently knock several cans on the floor and shoppers turn to look at you. The shoppers see the cans on the floor and respond with annoyance.","In the end, you realize that people were probably just surprised by the sound and turned around reflexively. The shoppers saw that no one was injured and probably felt relieved.",The other shoppers probably felt ...,Relieved that no one was injured.,Annoyed by the loud sound.,https://drive.google.com/file/d/1aeBYvXXRRb7XOm5OW_eMlyeAIEi7Zc5t/view?usp=sharing,1,2
,2,Positive,Social Situations,,,Overhearing your name,"As you walk through the office, you hear some of our coworkers talking about other people. As you walk closer to them, you overhear your name. When they see you, they smile and greet you, and you think that they were probably saying something pleasant.",N/A,Your coworkers were probably ...,Giving you a compliment.,Talking poorly about you.,https://drive.google.com/file/d/1h_Ml-gofAzajKf38xvJglnz-ungcO067/view?usp=sharing,1,2
,3,Positive,Social Situations,Mental Health,Physical Health,Friend in the Hospital,"You get a text from a friend that they are in the hospital, but they don't tell you why. You start to worry about whether they're going to be OK. As you think about your friend, you feel calm.",N/A,Will your friend probably be OK? ,Yes,,https://drive.google.com/file/d/1orHJdZcvNDmtHi2FCrQ29bBopJCgLT5D/view?usp=sharing,1,3
,4,Positive,Social Situations,,,Spotting a friend,"As you are walking down a crowded street, you see your coworker on the other side. You call out, but they do not answer you. Standing there in the street, you think that this must be because they were distracted.",N/A,Did your coworker purposely ignore your call to them in the street?,No,,https://drive.google.com/file/d/1ed7CaenQ9rbkqDg31nHg13-TRsdjeflf/view?usp=sharing,1,2
,5,Positive,Social Situations,,,"New City, New Friends","You just moved to a new city and have met a lot of really interesting people. However, you feel like you still don't have a very close group of friends to rely on and miss your close friends from your old city. You decide to spend more time with the people you have met so you can become closer friends.",N/A,Are you optimistic when you think about your new friends?,Yes,,https://drive.google.com/file/d/1l4o_T3GLD5cbWUmtwBa9KMSTQ5brDFsA/view?usp=sharing,1,1
,6,Positive,Social Situations,,,On a jog,"You are outside jogging and see a group of people ahead of you. As you pass them, you stumble slightly and feel a little foolish. You hear them laugh as you pass by, and assume that they are laughing at jokes.",N/A,The group of runners was probably laughing because ...,Someone told a funny joke.,They saw you stumble.,https://drive.google.com/file/d/1btP0ByonbcpU8OlzF6uesqxs04pCNP6H/view?usp=sharing,1,2
,7,Resilience/Negation,Social Situations,Academics/Work/Career Development,,Brief Introduction,"You are at a workshop, and the leader asks all attendees to stand up and introduce themselves. During your brief presentation, you momentarily forget what you planned to say, and the audience stares at you looking annoyed. ","In the end, you realize that everyone has these moments, and you quickly recover. As you finish introducing yourself, you see that the others are listening with keen interest.",Did the other people think you were boring?,No,,https://drive.google.com/file/d/1lgF7Z1c-zfEyeOyad_Bo6EmeBmmYmSe7/view?usp=sharing,1,2
,8,Negative,Social Situations,,,Keeping Up With Friends ,"You have been very busy and are having trouble keeping in contact with one of your best friends. You are usually good about calling them, but your schedule has been very hectic. As you think about their reaction to this lull in contact, you think that your friend will be upset.",,"Since you have been out of touch, your friend is probably thinking","""I guess this friendship isn't worth very much.""","""I'm sure things are just really busy right now.""",https://drive.google.com/file/d/1zs5Zen5SreRnD91mUn6rtDWU2U5Icoe_/view?usp=sharing,1,3
,9,Positive,Social Situations,Family & Home Life,,New Apartment to Yourself,You just moved to a new apartment and you are living alone for the first time in a while. Your days are very quiet and you often find yourself staying in on the weekends with much fewer plans than you had when you were living with people. This feels like a relaxing change of pace.,N/A,Are you bored living alone?,No,,https://drive.google.com/file/d/1VlSJxjX6YZt0epDm0HUx0I8HU-2SSjKk/view?usp=sharing,1,3
,10,Positive,Social Situations,Academics/Work/Career Development,,A sip of water,"You are told you need to give a presentation to your coworkers. When it is time to present, you have a sip of water and wonder what your coworkers will think of you. As you begin to speak, you feel scared and decide to continue.",N/A,When you feel anxious during a presentation...,You have the ability to continue with your talk.,You have to stop your talk and flee the situation.,https://drive.google.com/file/d/1M2nmwy6Vs-FYWSeplo1FuQ51PqchzdnB/view?usp=sharing,1,3
4,1,Positive,Social Situations,,,Taking Yourself to a Movie,"You go to see a movie on opening night. When you get to the theater, you notice that you are the only person sitting alone.  You feel excited for the movie to start. ",N/A,Are you okay with sitting alone?,Yes,,https://drive.google.com/file/d/1WgfEzWjUdv0P2mkkCPQgevH6Jh-5EtJa/view?usp=sharing,2,1
,2,Resilience/Negation,Social Situations,,,Friendships in the Future,"When you think about your retirement, you wonder which friends will still be a part of your life. You hope to keep in touch with your closest friends but know that it will be difficult. ","When you imagine yourself transitioning to retirement, you do not think you will have drifted from your good friends, and you see you and your close friends together.",Do you expect to be close to your current friends in the future?,Yes,No,https://drive.google.com/file/d/1eXwD9o73h1m91y7aWEv3Bl50xvzzUvu-/view?usp=sharing,2,3
,3,Positive,Social Situations,Academics/Work/Career Development,,Train of thought,"You are giving a presentation at work. During one of your slides, you lose your train of thought and have to take a moment to look over your notes. As you start again, you think that losing one's train of thought while presenting is normal.",N/A,Is it normal to lose your train of thought while presenting?,Yes,,https://drive.google.com/file/d/1PHmQe4AQ2pdApKjmB9uPD73GJXIyik1b/view?usp=sharing,2,3
,4,Positive,Social Situations,Physical Health,,COVID Confrontation,"You have a cold and since you tested negative for COVID, you decided to go back to work. You can't help but cough a few times throughout the day, and when you're about to leave a coworker confronts you, accusing you of coming to work with COVID. You feel like that person must be going through a stressful time.",N/A,Can you always avoid worrying others?,No,,https://drive.google.com/file/d/1ZRX4djV0jNJx45cG7BKsaEWYgTgDJGha/view?usp=sharing,2,3
